,nwm_reach_id,ahps,reach_name,usgs_id,usgs_lat,usgs_lon,drain_area_km2,usgs_name
0,14365490,,McMillan Forck,1594950,39.2767,-79.3903,6,"McMillan Fork near Fort Pendlenton, MD"
1,14365432,,North Branch Potomac River,1595000,39.3019,-79.3086,189,"North Branch Potomac River at Steyer, MD"
2,14365250,,Abram Creek,14365250,39.3667,-79.1789,110,"Abram Creek at Oakmont, WV"
3,14365188,kitm2,North Branch Potomac River,1595500,39.394,-79.1827,583,"North Branch Potomac River at Kitzmiller, MD"
4,14365060,,North Branch Potomac River,1595800,39.445,-79.1112,689,"North Branch Potomac River at Barnum, WV"
5,14364102,,Crabtree Creek,1597000,39.5015,-79.1589,43,"Crabtree Creek near Swanton, MD"
6,14364088,,Savage River,1596500,39.5698,-79.1019,127,"Savage River near Barton, MD"
7,14364042,,Savage River,1597500,39.5031,-79.1241,274,"Savage River below Savage River Dam near Bloomington, MD"
8,14364980,lukm2,North Branch Potomac River,1598500,39.4792,-79.0642,1051,"North Branch Potomac River at Luke, MD"
9,14364970,,Georges Creek,1599000,39.4942,-79.0446,187,"Georges Creek at Franklin, MD"
10,14363018,,Hoffman Drainage Tunnel,1601420,39.6374,-78.8915,-9999,"Hoffman Drainage Tunnel at Clarysville, MD"
11,14362658,,Wills Creek,1601000,39.8111,-78.7171,378,"Wills Creek below Hyndman, PA"
12,14363456,cwcm2,Wills Creek,1601500,39.6697,-78.7878,640,"Wills Creek near Cumberland, MD"
13,14363552,cbem2,North Branch Potomac River,1603000,39.6219,-78.7734,2271,"North Branch Potomac River near Cumberland, MD"
14,14364372,,Patterson Creek,1604500,39.4433,-78.822,572,"Patterson Creek near Headsville, WV"
15,8423458,fklw2,South Branch Potomac River,1605500,38.6366,-79.3397,464,"South Branch Potomac River at Franklin, WV"
16,8423282,,North Folk South Branch Potomac River,1606000,38.9844,-79.234,803,"North Fork South Branch Potomac River at Cabins, WV"
17,8423278,petw2,South Branch Potomac River,1606500,38.9911,-79.1758,1686,"South Branch Potomac River near Petersburg, WV"
18,8423460,,South Fork South Branch Potomac River,1607500,38.6313,-79.2417,267,"South Fork South Branch Potomac River at Brandywine, WV"
19,8420098,mofw2,South Fork South Branch Potomac River,1608000,39.0124,-78.9559,717,"South Fork South Branch Potomac River near Moorefield, WV"
20,8420360,sprw2,South Branch Potomac River,1608500,39.447,-78.654,3784,"South Branch Potomac River near Springfield, WV"
21,8431428,,Town Creek,1609000,39.5532,-78.555,383,"Town Creek near Oldtown, MD"
22,8431820,paww2,Potomac River,1610000,39.5387,-78.457,8104,"Potomac River at Paw Paw, WV"
23,8431622,,Sideling Hill Creek,1610455,39.6517,-78.3435,264,"Sideling Hill Creek near Bellegrove, MD"
24,8433400,,Waites Run,1610400,39.0421,-78.6031,33,"Waites Run near Wardensville, WV"
25,8431736,gcpw2,Cacapon River,1611500,39.5824,-78.3097,1748,"Cacapon River near Great Cacapon, WV"
26,5892920,,Warm Springs Run,1613030,38.64,-78.2172,-9999,"Warm Springs Run near Berkeley Springs, WV"
27,5892356,,Tonoloway Creek,1613050,39.8976,-78.1334,28,"Tonoloway Creek near Needmore, PA"
28,5893280,,Tonoloway Creek,1613095,39.7061,-78.1527,287,Tonoloway Creek
29,5893338,hnkm2,Potomac River,1613000,39.6984,-78.1782,10526,"Potomac River at Hancock, MD"
30,5892862,,Licking Creek,1613525,39.6763,-78.042,500,"Licking Creek at Pectonville, MD"
31,5895822,,Hogue Creek,16133900,39.2157,-78.2872,41,"Hogue Creek near Hayfield, VA"
32,5893170,,Back Creek,1614000,39.512,-78.037,609,"Back Creek near Jones Springs, WV"
33,5891232,favm2,Conococheague Creek,1614500,39.7165,-77.8249,1279,"Conococheague Creek at Fairview, MD"
34,5895964,,Opequon Creek,1615000,39.1732,-78.0771,151,"Opequon Creek near Berryville, VA"
35,5895892,,Dry Marsh Run,1616100,39.1934,-78.0716,28,"Dry Marsh Run near Berryvile, VA"
36,5895480,,Mill Creek,1616400,39.3295,-78.0538,-9999,"Mill Creek at Bunker Hill, WV"
37,5894384,,Opequon Creek,1616500,39.424,-77.9384,707,"Opequon Creek above Martinsburg, WV"
38,5894280,,Tuscarora Creek,1617000,39.4706,-77.9755,29,"Tuscarora Creek above Martinsburg, WV"
39,5894272,,Rockymarsh Run,1618100,39.4855,-77.8327,41,"Rockymarsh Run at Scrabble, WV"
40,5891846,,Marsh Run,1617800,39.5151,-77.7764,49,"Marsh Run at Grimes, MD"
